section_id,country_code,country_name,election_region_code,election_region_name,municipality_code,municipality_name,city_region_code,city_region_name,section_code,town_code,town_name,place,voters_count,is_machine,is_mobile,is_ship,is_covid
010300029,00,България,01,Благоевград,03,Благоевград,,,029,4279,гр. Благоевград,"III основно училище""Димитър Талев"", бул. ""Св. св. Кирил и Методий"" №13",609,1,0,0,0
010300030,00,България,01,Благоевград,03,Благоевград,,,030,4279,гр. Благоевград,"III основно училище""Димитър Талев"", бул. ""Св. св. Кирил и Методий"" №13",680,1,0,0,0
010300031,00,България,01,Благоевград,03,Благоевград,,,031,4279,гр. Благоевград,"III основно училище""Димитър Талев"", бул. ""Св. св. Кирил и Методий"" №13",661,1,0,0,0
010300032,00,България,01,Благоевград,03,Благоевград,,,032,4279,гр. Благоевград,"Дневен център за деца с увреждания ""Зорница"", ул. ""Скаптопара"" №26",350,1,0,0,0
010300033,00,България,01,Благоевград,03,Благоевград,,,033,4279,гр. Благоевград,"Благоевградска професионална гимназия, ул. ""Иван Михайлов"" №62",724,1,0,0,0
010300034,00,България,01,Благоевград,03,Благоевград,,,034,4279,гр. Благоевград,"III основно училище""Димитър Талев"", бул. ""Св. св. Кирил и Методий"" №13",635,1,0,0,0
010300035,00,България,01,Благоевград,03,Благоевград,,,035,4279,гр. Благоевград,"III основно училище""Димитър Талев"", бул. ""Св. св. Кирил и Методий"" №13",598,1,0,0,0
010300036,00,България,01,Благоевград,03,Благоевград,,,036,4279,гр. Благоевград,"III основно училище""Димитър Талев"", бул. ""Св. св. Кирил и Методий"" №13",680,1,0,0,0
010300037,00,България,01,Благоевград,03,Благоевград,,,037,4279,гр. Благоевград,"III основно училище""Димитър Талев"", бул. ""Св. св. Кирил и Методий"" №13",673,1,0,0,0
010300038,00,България,01,Благоевград,03,Благоевград,,,038,4279,гр. Благоевград,"Детска градина №12 ""Алени Макове"", ул. ""Тодор Александров"" №047",483,1,0,0,0
010300039,00,България,01,Благоевград,03,Благоевград,,,039,4279,гр. Благоевград,"Детска градина №12 ""Алени Макове"", ул. ""Тодор Александров"" №047",557,1,0,0,0
010300040,00,България,01,Благоевград,03,Благоевград,,,040,4279,гр. Благоевград,"VII СУ ""Кузман Шапкарев"", ул. ""Илинден"" №13",718,1,0,0,0
010300041,00,България,01,Благоевград,03,Благоевград,,,041,4279,гр. Благоевград,"VII СУ ""Кузман Шапкарев"", ул. ""Илинден"" №13",658,1,0,0,0
010300042,00,България,01,Благоевград,03,Благоевград,,,042,4279,гр. Благоевград,"VII СУ ""Кузман Шапкарев"", ул. ""Илинден"" №13",625,1,0,0,0
010300043,00,България,01,Благоевград,03,Благоевград,,,043,4279,гр. Благоевград,"VII СУ ""Кузман Шапкарев"", ул. ""Илинден"" №13",715,1,0,0,0
010300044,00,България,01,Благоевград,03,Благоевград,,,044,4279,гр. Благоевград,"Езикова гимназия""Акад. Л.стоянов"", ул. ""Марица"" №4",485,1,0,0,0
010300045,00,България,01,Благоевград,03,Благоевград,,,045,4279,гр. Благоевград,"Езикова гимназия""Акад. Л.стоянов"", ул. ""Марица"" №4",457,1,0,0,0
010300046,00,България,01,Благоевград,03,Благоевград,,,046,4279,гр. Благоевград,"Детска градина №2 ""Детски Свят"", ул. ""Марица"" №006",647,1,0,0,0
010300047,00,България,01,Благоевград,03,Благоевград,,,047,4279,гр. Благоевград,"Благоевградска професионална гимназия, ул. ""Иван Михайлов"" №62",669,1,0,0,0
010300048,00,България,01,Благоевград,03,Благоевград,,,048,4279,гр. Благоевград,"III основно училище""Димитър Талев"", бул. ""Св. св. Кирил и Методий"" №13",653,1,0,0,0
010300049,00,България,01,Благоевград,03,Благоевград,,,049,4279,гр. Благоевград,"III основно училище""Димитър Талев"", бул. ""Св. св. Кирил и Методий"" №13",637,1,0,0,0
010300050,00,България,01,Благоевград,03,Благоевград,,,050,4279,гр. Благоевград,"Детска градина №10 ""Мак"", ул. ""Стоимен календерски"" №015",452,1,0,0,0
010300051,00,България,01,Благоевград,03,Благоевград,,,051,4279,гр. Благоевград,"Детска градина №2 ""Детски Свят"", ул. ""Марица"" №006",648,1,0,0,0
010300052,00,България,01,Благоевград,03,Благоевград,,,052,4279,гр. Благоевград,"Детска градина №4 ""Роса"", ул. ""Менча кърничева"" №039",425,1,0,0,0
010300053,00,България,01,Благоевград,03,Благоевград,,,053,4279,гр. Благоевград,"ІV основно училище""Димчо Дебелянов"", ул. ""Осогово"" №9",574,1,0,0,0
010300054,00,България,01,Благоевград,03,Благоевград,,,054,4279,гр. Благоевград,"ІV основно училище""Димчо Дебелянов"", ул. ""Осогово"" №9",604,1,0,0,0
010300055,00,България,01,Благоевград,03,Благоевград,,,055,4279,гр. Благоевград,"ІV основно училище""Димчо Дебелянов"", ул. ""Осогово"" №9",570,1,0,0,0
